Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0120737,2017-08-15,2017-08-15,,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Action, Adventure, Drama, Fantasy",1595469,2001-12-10,Peter Jackson
2,tt0167260,2017-08-15,2017-08-15,,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,8.9,201,2003,"Adventure, Drama, Fantasy",1582277,2003-12-01,Peter Jackson
3,tt0167261,2017-08-15,2017-08-15,,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,movie,8.7,179,2002,"Adventure, Drama, Fantasy",1429353,2002-12-05,Peter Jackson
4,tt0944947,2017-08-15,2017-08-15,,Game of Thrones,https://www.imdb.com/title/tt0944947/,tvSeries,9.3,57,2011,"Action, Adventure, Drama, Fantasy, Romance",1672526,2011-04-17,
5,tt0013442,2020-04-18,2020-04-18,,"Nosferatu, eine Symphonie des Grauens",https://www.imdb.com/title/tt0013442/,movie,7.9,94,1922,"Fantasy, Horror",85220,1922-02-17,F.W. Murnau
6,tt0093779,2017-08-15,2017-08-15,,The Princess Bride,https://www.imdb.com/title/tt0093779/,movie,8.1,98,1987,"Adventure, Family, Fantasy, Romance",378162,1987-09-18,Rob Reiner
7,tt0082198,2017-08-15,2017-08-15,,Conan the Barbarian,https://www.imdb.com/title/tt0082198/,movie,6.9,129,1982,"Action, Adventure, Fantasy",133436,1982-04-02,John Milius
8,tt0091369,2017-08-15,2017-08-15,,Labyrinth,https://www.imdb.com/title/tt0091369/,movie,7.4,101,1986,"Adventure, Family, Fantasy, Musical",119273,1986-06-27,Jim Henson
9,tt0096446,2017-08-15,2017-08-15,,Willow,https://www.imdb.com/title/tt0096446/,movie,7.3,126,1988,"Action, Adventure, Drama, Fantasy, Romance",97581,1988-05-20,Ron Howard
10,tt0083791,2017-08-15,2017-08-15,,The Dark Crystal,https://www.imdb.com/title/tt0083791/,movie,7.2,93,1982,"Adventure, Family, Fantasy",60022,1982-12-17,"Jim Henson, Frank Oz"
11,tt0130414,2017-08-15,2017-08-15,,Merlin,https://www.imdb.com/title/tt0130414/,tvMiniSeries,7.1,182,1998,"Action, Adventure, Drama, Fantasy, Romance",19924,1998-04-26,
12,tt0120889,2020-04-24,2020-04-24,,What Dreams May Come,https://www.imdb.com/title/tt0120889/,movie,7.1,113,1998,"Drama, Fantasy, Romance",99675,1998-09-28,Vincent Ward
13,tt0499448,2017-08-15,2017-08-15,,The Chronicles of Narnia: Prince Caspian,https://www.imdb.com/title/tt0499448/,movie,6.5,150,2008,"Action, Adventure, Family, Fantasy",187948,2008-05-09,Andrew Adamson
14,tt1972591,2017-08-15,2017-08-15,,King Arthur: Legend of the Sword,https://www.imdb.com/title/tt1972591/,movie,6.7,126,2017,"Action, Adventure, Drama, Fantasy",182896,2017-04-27,Guy Ritchie
15,tt0363771,2017-08-15,2017-08-15,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/,movie,6.9,143,2005,"Adventure, Family, Fantasy",354702,2005-12-07,Andrew Adamson
16,tt1201607,2017-08-21,2017-08-21,,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,movie,8.1,130,2011,"Adventure, Drama, Fantasy, Mystery",731138,2011-07-07,David Yates
17,tt0304141,2017-08-21,2017-08-21,,Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/,movie,7.9,142,2004,"Adventure, Family, Fantasy, Mystery",522847,2004-05-23,Alfonso Cuarón
18,tt0903624,2017-08-15,2017-08-15,,The Hobbit: An Unexpected Journey,https://www.imdb.com/title/tt0903624/,movie,7.8,169,2012,"Adventure, Family, Fantasy",740101,2012-11-28,Peter Jackson
19,tt0926084,2017-08-21,2017-08-21,,Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/,movie,7.7,146,2010,"Adventure, Family, Fantasy, Mystery",454251,2010-11-11,David Yates
20,tt0330373,2017-08-21,2017-08-21,,Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/,movie,7.7,157,2005,"Adventure, Family, Fantasy, Mystery",520703,2005-11-06,Mike Newell
21,tt0486655,2017-08-15,2017-08-15,,Stardust,https://www.imdb.com/title/tt0486655/,movie,7.6,127,2007,"Adventure, Family, Fantasy, Romance",246973,2007-07-29,Matthew Vaughn
22,tt0106308,2017-08-15,2017-08-15,,Army of Darkness,https://www.imdb.com/title/tt0106308/,movie,7.5,81,1992,"Comedy, Horror",157934,1992-10-09,Sam Raimi
23,tt0116136,2017-08-15,2017-08-15,,DragonHeart,https://www.imdb.com/title/tt0116136/,movie,6.5,103,1996,"Action, Adventure, Fantasy",89110,1996-05-31,Rob Cohen
24,tt0417741,2017-08-21,2017-08-21,,Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/,movie,7.6,153,2009,"Action, Adventure, Family, Fantasy, Mystery",448787,2009-07-06,David Yates
25,tt0360486,2020-04-24,2020-04-24,,Constantine,https://www.imdb.com/title/tt0360486/,movie,7.0,121,2005,"Action, Fantasy, Horror, Mystery",293942,2005-02-07,Francis Lawrence
